Title,Company,Reference Code,Posted Date,Closing Date,Employment Mode,Salary,Vacancy,Location,Job Description,Skills & Requirements,Graduation Year,Fields of Study,Education Level (pursuing / obtained),Required Level of Work Experience,About Company,Application Methods,Address,Email,Phone,Fax,Website,Note,Nature of Business,Job Categories
Process Engineering Trainee (Based in Jiangmen),Johnson Electric Industrial Manufactory Limited,JIS00336108,2024-08-27,2024-09-25,"Full Time, Graduate",HKD ($) 20K - 22K per month,3,Greater Bay Area (Shenzhen or Jiangmen),"Job Highlights
Free daily shuttle bus services and accommodation provided
Intensive on-the-job training provided
Mentor and buddy to provide the best support
Five-day work week in Greater Bay Area (Jiangmen)
  Position Summary:
The role equips graduates with the necessary technical skills to further develop into leaders at Johnson Electric.
Responsibilities:
Be assigned to designated business unit(s) and participate in global automation and continuous improvement activities
Work closely with various business units to identify solutions for manufacturing process improvement or cost saving initiatives to align with overall operation strategy
Assist in preparing new project and system relative documents","Requirements:
Bachelor degree or above in Electrical Engineering, Mechanical Engineering, Industrial Engineering, Manufacturing, Automation, other Engineering or Science disciplines (e.g. Physics)
Fresh graduates or graduates with less than 2 years of experience are welcome to apply
A team player who is eager to learn and with good work attitude
Fluent in English and Chinese (Both Cantonese and Mandarin)",2021 - 2024,"Applied Physics, Electrical / Electronic / Energy Engineering, Industrial & Manufacturing Systems Engineering, Mechanical Engineering, Systems Engineering & Engineering Management, Materials Science & Engineering","Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",None,"The Johnson Electric Group is a global leader in electric motors, actuators, motion subsystems and related electro-mechanical components. It serves a broad range of industries including Automotive, Smart Metering, Medical Devices, Business Equipment, Home Automation, Ventilation, White Goods, Power Tools, and Lawn & Garden Equipment. The Group is headquartered in Hong Kong and employs over 35,000 individuals in more than 20 countries worldwide. Johnson Electric Holdings Limited is listed on The Stock Exchange of Hong Kong Limited (Stock Code: 179). For further information, please visit: www.johnsonelectric.com.","Please address your application to : Trace Wong, Assistant Manager, HR","6/F, 12 Science Park East Avenue, Science Park, Shatin, HK",trace.oy.wong@johnsonelectric.com,26636340,,https://www.johnsonelectric.com,,Manufacturing,"Engineering - Electronic / Industrial / Electrical / Mechanical and others
Research Assistant / Technicians
Research & Development"
Assistant Building Surveyor,Knight Frank Petty Limited,JIS00336119,2024-08-27,2024-09-25,"Full Time, Graduate",Negotiable,1,Wan Chai,"Job Summary

You will help to carry out inspection, maintenance, refurbishment and renovation work for properties, and assist in preparation of submission plans to government departments for A&A works. 

Responsibilities
Participate in fitting out, renovation, maintenance and repair projects
Provide technical support and advice on revocation and inspection works
Conduct on-site building inspections and condition surveys
Coordinate alternations and addition works
Prepare reports and tender documents
Assist in building plan submissions to the Buildings and Fire Services Departments
Prepare checklists, recommendations and letters for endorsement by Buildings Department","Requirements
Degree holder in Building Surveying / Building Studies or equivalent 
Minimum 1-2 years' relevant experience, preferably in the building consultancy
Proficient in MS Word, Excel, PowerPoint, and Chinese word processing
Good spoken and written English, Cantonese and Mandarin
Self-motivated, confident, and a positive attitude
Must work well both independently and as part of a team
Attentive to detail, and able to meet tight deadlines",2021 - 2024,"Building Surveying & Construction Management, Real Estate",Bachelor,1 year,"Knight Frank is the leading independent global property consultancy. Headquartered in London, Knight Frank has more than 25,000 people operating from over 600 offices across 58 markets.
Knight Frank is an equal opportunity employer committed to fostering a diverse workforce and inclusive workplace. We are committed to equal employment opportunity regardless of race, color, gender, religion, disability, sexual orientation, age, national or ethnic origin, or family status.  If you require special assistance during the recruitment process, please reach out to us via email recruit@hk.knightfrank.com at any time.",,"4th Floor, Shui On Centre, 6-8 Harbour Road, Wanchai",recruit@hk.knightfrank.com,28401177,28460600,https://www.knightfrank.com.hk/,Please indicate your expected salary in your resume.,Real Estate / Property,Surveying
Assistant Member Services Officer,YMCA of Hong Kong,JIS00336115,2024-08-27,2024-09-25,"Full Time, Graduate",Negotiable,1,Tsim Sha Tsui,"Responsibilities:
Perform both counter and clerical duties in Member Services Office
Maintain a good relationship with members by answering enquiries and handling complaints efficiently and satisfactorily;
Communicate with various department to ensure a high level of customer satisfaction;
Prepare weekly membership data information, support and execute membership promotion plan
Perform other ad hoc duties as assigned by the supervisor.","Requirements:
  Association Degree/Higher Diploma or above in any discipline;
Minimum 1 year related working experience in customer services;
Good communication in spoken English, Cantonese & Mandarin;
Proficiency in Microsoft Office;
Customer-oriented, responsible, independent, self-motivated & strong interpersonal skills;
Shift duty is required;
Immediately available is highly preferred.",2020 - 2023,Any Discipline,"Bachelor, Master / Postgraduate Diploma, Doctorate or above, Higher Diploma / Associate Degree",1 year,"Established in 1901, the YMCA of Hong Kong has a long and reputable history and is a leading Christian organization as well as an integral partner of the community. The YMCA is a well-established organization providing members and the community rather diversified services which include but not limited to formal education, sports, recreation, fitness and wellness, youth leadership development and social services. We also operate a 372-room hostel (“The Salisbury”) with food & beverage outlets. In addition, the YMCA is engaged in significant regional and international Christianity development programmes and activities. We are an equal opportunity employer and have been awarded the Family-Friendly Employer Award since 2013/2014.",,41 Salisbury Road Tsimshatsui Kowloon,recruit@ymcahk.org.hk,852 2268 7030,852 2268 7793,http://www.ymcahk.org.hk/,"Remuneration will commensurate with qualifications and experience. Interested parties please complete a Part-time Job Application Form which can be downloaded at http://www.ymcahk.org.hk; and send it together with your resume quoting the job reference and stating the expected salary and earliest availability either 1) by email to: recruit@ymcahk.org.hk or 2) by mail to: Human Resources Department, YMCA of Hong Kong, 41 Salisbury Road, Tsim Sha Tsui, Kowloon or 3) by fax to: 2268 7793 or 4) contact us by Whatsapp: 6901 6200.
All personal data provided by applicants will be treated in strictest confidence and used for recruitment purpose only. Only those who are shortlisted will be contacted.
www.ymcahk.org.hk",Quasi-government / Non-profit Organisation,Others
Bell Attendant (Welcome Fresh Graduate),YMCA of Hong Kong,JIS00336114,2024-08-27,2024-09-25,"Full Time, Graduate",Negotiable,2,Tsim Sha Tsui,"Meet and greet all guests arriving and departing to/from the Hotel;
Handle all guest luggages with care and efficiency and provide safe and secure storage.","F. 5 or above;
Pleasant with good customer service skills;
Able to speak English, Chinese and Putongua;
Overnight shift duty is required;
Fresh graduate will also be considered",2019 - 2024,"Accounting & Finance, Actuarial Science, Aerospace / Aviation Technician, Agriculture, Analytical & Testing Sciences, Animation & Digital Arts, Anthropology, Applied Ageing Studies & Service Management, Applied Biology, Applied Physics, Applied Science, Architecture / Landscape Architecture, Area & Ethnic Studies, Artifical Intelligence: Systems & Technologies, Arts, Asian & International Studies, Aviation Engineering, Aviation Management & Logistics, Big Data Technology, Bimodal Bilingual Studies, Biochemistry, Bioengineering, Bioinformatics, Biological Science, Biomedical Engineering, Biomedical Science, Biotechnology, Building Services Engineering, Building Surveying & Construction Management, Business Administration, Business Design & Innovation, Chemical Technology, Chemistry, China Studies, Chinese Language & Literature, Chinese Medicine, Civil / Structural Engineering, Cognitive Science, Communication, Community Health Practice, Comparative Literature, Computer & Information Sciences, Computer Science & Engineering, Computing, Computing & Software Technologies, Computing Mathematics, Counselling, Creative & Professional Writing, Creative Arts and Culture, Creative Media, Criminology, Cultural Management / Studies, Data & Media Communication, Data Science, Data Science & Policy Studies, Decision Analytics, Dentistry, Design, Earth Sciences, Economics, Education, Electrical / Electronic / Energy Engineering, Energy Management & Technology, Engineering, English, Enterprise Engineering with Management, Environment & Resources Management, Environmental & Occupational Safety & Health, Environmental Engineering & Sustainable Development, European Studies, Film, Financial Technology, Fine Arts, Food & Nutritional Science, Food Safety & Technology, Foreign Language & Literature, Gender Studies, Geography / Urban Studies, Gerontology, Global Business Studies, Global Economics & Finance, Global Studies, Government & International Studies, Graphic & Commercial Arts, Greater China Studies, Green Energy Science, Health & Social Services Management, Health Professions, Health Sciences & Technology, History, Home Economics, Hotel & Tourism Management, Human & Organizational Development, Human Resources & Labour Relations, Humanities, Industrial & Manufacturing Systems Engineering, Information Engineering, Information System Management, Information Systems & Analytics, Insurance, Financial & Actuarial Analysis, Integrative Systems & Design, Intelligent Building Technology & Management, International Business and Global Management, Internet & Multimedia Technology, Investment Science, Japanese Studies, Journalism, Korean Studies, Land Surveying & Geo-informatics, Languages / Linguistics, Law, Liberal Arts / General Studies, Logistics / Supply Chain Management, Management Sciences, Marketing, Materials Science & Engineering, Mathematics / Statistics, Mechanical Engineering, Media & Cultural Studies, Medical Sciences, Medicine, Music, Nano Science & Technology, Natural Resources / Environmental Sciences, New Media, Nursing, Occupational Therapy, Ocean Science & Technology, Optometry, Parks & Recreation, Pharmacy, Philosophy / Religion, Physical Sciences, Physiotherapy, Politics and Public Administration, Product Analysis & Engineering Design, Protective Services, Psychology, Public Health, Public Policy & Governance, Quantitative Finance, Quantitative Finance & Risk Management Science, Quantitative Social Analysis, Radiography, Real Estate, Rehabilitation Sciences, Risk & Insurance Management, Science, Science & Web Technology, Shipping Technology & Management, Social Sciences, Social Work, Sociology, Speech-Language Pathology & Learning Disabilities, Sports Science, Sustainability, Sustainable Structural & Fire Engineering, Systems Engineering & Engineering Management, Textile & Clothing, Theatre Studies, Theology, Trade & Industry, Translation, Transportation Systems Engineering, Veterinary Medicine, Visual & Performing Arts, Others
...More",Higher Diploma / Associate Degree,None,"Established in 1901, the YMCA of Hong Kong has a long and reputable history and is a leading Christian organization as well as an integral partner of the community. The YMCA is a well-established organization providing members and the community rather diversified services which include but not limited to formal education, sports, recreation, fitness and wellness, youth leadership development and social services. We also operate a 372-room hostel (“The Salisbury”) with food & beverage outlets. In addition, the YMCA is engaged in significant regional and international Christianity development programmes and activities. We are an equal opportunity employer and have been awarded the Family-Friendly Employer Award since 2013/2014.",,41 Salisbury Road Tsimshatsui Kowloon,recruit@ymcahk.org.hk,852 2268 7030,852 2268 7793,http://www.ymcahk.org.hk/,Whatsapp: 6901 6200,Quasi-government / Non-profit Organisation,Customer Services - Retail / Hotel / Tourism and Others
Quality Assurance Engineer,Hong Kong Generative AI Research and Development Center Limited,JIS00336116,2024-08-27,2024-09-25,"Full Time, Graduate",HKD ($) 18K - 25K per month,1,"HKUST, Clear Water Bay, Kowloon, Hong Kong","The appointee will be responsible for:
Participate in requirements review, solution design review, formulate test plans and test strategies for the assigned projects.
Quickly grasp and master the core features and business logic of the requirements.
Independently write high-coverage test cases, and design or utilize tools to efficiently execute them.
Perform defect tracking and analysis, assist development engineers in analyzing and resolving issues.
Assist product/project managers in driving project progress, assessing risks.
Independently write test reports.","Familiar with software testing processes, writing test plans, test case design methods, test reports, etc.
Able to deeply analyze requirements, pinpoint issues, and describe bugs in detail.
Familiar with common methods and tools for web testing.
Possess strong business understanding and learning capabilities.
Detail-oriented, adept at teamwork.
Hold a bachelor's degree or above in computer science, software engineering, or related fields.
Proficient in computer fundamentals.
Candidates with a background in computer science, internship experience in test development, and proficiency in Python are preferred.",2023 - 2024,"Computing, Computer Science & Engineering, Computer & Information Sciences",Bachelor,1 year,"Hong Kong Generative AI Research and Development Center (HKGAI) is a new InnoHK R&D Centre established in October 2023 specializing in research and development of generative AI technology. With Hong Kong University of Science and Technology (HKUST) as the leading institution in collaboration with local and international institutions, HKGAI aims to establish foundation model and a wide range of AI applications that holds the potential to revolutionize the way we live, work and interact.","Please address your application to : Yolanda YUK, HR","Rm 7028, 7/F, Lee Shau Kee Building, HKUST Clear Water Bay",hr@hkgai.org,34693180,,,"To apply, please send your application with a full curriculum vitae indicating the current and expected salaries to <hr@hkgai.org> with email title [name-school-position-source].
Review of applications will begin shortly and continue until the position is filled. We thank applicants for their interest but advise that only shortlisted candidates will be notified.
(Information provided by applicants will be used for recruitment and other employment-related purposes.)
 ",Information Technology / Telecom / Technology,Research & Development
Guest Service Agent (welcome fresh graduate),YMCA of Hong Kong,JIS00336113,2024-08-27,2024-09-25,"Full Time, Graduate",HKD ($) 17K - 18K per month,2,Tsim Sha Tsui,"Handle check in and check out procedures;
Greet and welcome guests; and answer their enquiries in a professional manner at all time;
Handle all guest luggages with care and efficiency and provide safe and secure storage.","Diploma or above in Hospitality or related discipline;
Good command of written & spoken English, Chinese and Mandarin;
Excellent telephone manners and good customer service skills;
Pleasant, confident and patient;
Knowledge of using Opera will be an advantage;
Shift duty is required;
Fresh graduate will also be considered.
 ",2020 - 2024,"Accounting & Finance, Actuarial Science, Aerospace / Aviation Technician, Agriculture, Analytical & Testing Sciences, Animation & Digital Arts, Anthropology, Applied Ageing Studies & Service Management, Applied Biology, Applied Physics, Applied Science, Architecture / Landscape Architecture, Area & Ethnic Studies, Artifical Intelligence: Systems & Technologies, Arts, Asian & International Studies, Aviation Engineering, Aviation Management & Logistics, Big Data Technology, Bimodal Bilingual Studies, Biochemistry, Bioengineering, Bioinformatics, Biological Science, Biomedical Engineering, Biomedical Science, Biotechnology, Building Services Engineering, Building Surveying & Construction Management, Business Administration, Business Design & Innovation, Chemical Technology, Chemistry, China Studies, Chinese Language & Literature, Chinese Medicine, Civil / Structural Engineering, Cognitive Science, Communication, Community Health Practice, Comparative Literature, Computer & Information Sciences, Computer Science & Engineering, Computing, Computing & Software Technologies, Computing Mathematics, Counselling, Creative & Professional Writing, Creative Arts and Culture, Creative Media, Criminology, Cultural Management / Studies, Data & Media Communication, Data Science, Data Science & Policy Studies, Decision Analytics, Dentistry, Design, Earth Sciences, Economics, Education, Electrical / Electronic / Energy Engineering, Energy Management & Technology, Engineering, English, Enterprise Engineering with Management, Environment & Resources Management, Environmental & Occupational Safety & Health, Environmental Engineering & Sustainable Development, European Studies, Film, Financial Technology, Fine Arts, Food & Nutritional Science, Food Safety & Technology, Foreign Language & Literature, Gender Studies, Geography / Urban Studies, Gerontology, Global Business Studies, Global Economics & Finance, Global Studies, Government & International Studies, Graphic & Commercial Arts, Greater China Studies, Green Energy Science, Health & Social Services Management, Health Professions, Health Sciences & Technology, History, Home Economics, Hotel & Tourism Management, Human & Organizational Development, Human Resources & Labour Relations, Humanities, Industrial & Manufacturing Systems Engineering, Information Engineering, Information System Management, Information Systems & Analytics, Insurance, Financial & Actuarial Analysis, Integrative Systems & Design, Intelligent Building Technology & Management, International Business and Global Management, Internet & Multimedia Technology, Investment Science, Japanese Studies, Journalism, Korean Studies, Land Surveying & Geo-informatics, Languages / Linguistics, Law, Liberal Arts / General Studies, Logistics / Supply Chain Management, Management Sciences, Marketing, Materials Science & Engineering, Mathematics / Statistics, Mechanical Engineering, Media & Cultural Studies, Medical Sciences, Medicine, Music, Nano Science & Technology, Natural Resources / Environmental Sciences, New Media, Nursing, Occupational Therapy, Ocean Science & Technology, Optometry, Parks & Recreation, Pharmacy, Philosophy / Religion, Physical Sciences, Physiotherapy, Politics and Public Administration, Product Analysis & Engineering Design, Protective Services, Psychology, Public Health, Public Policy & Governance, Quantitative Finance, Quantitative Finance & Risk Management Science, Quantitative Social Analysis, Radiography, Real Estate, Rehabilitation Sciences, Risk & Insurance Management, Science, Science & Web Technology, Shipping Technology & Management, Social Sciences, Social Work, Sociology, Speech-Language Pathology & Learning Disabilities, Sports Science, Sustainability, Sustainable Structural & Fire Engineering, Systems Engineering & Engineering Management, Textile & Clothing, Theatre Studies, Theology, Trade & Industry, Translation, Transportation Systems Engineering, Veterinary Medicine, Visual & Performing Arts, Others
...More",Higher Diploma / Associate Degree,None,"Established in 1901, the YMCA of Hong Kong has a long and reputable history and is a leading Christian organization as well as an integral partner of the community. The YMCA is a well-established organization providing members and the community rather diversified services which include but not limited to formal education, sports, recreation, fitness and wellness, youth leadership development and social services. We also operate a 372-room hostel (“The Salisbury”) with food & beverage outlets. In addition, the YMCA is engaged in significant regional and international Christianity development programmes and activities. We are an equal opportunity employer and have been awarded the Family-Friendly Employer Award since 2013/2014.",,41 Salisbury Road Tsimshatsui Kowloon,recruit@ymcahk.org.hk,852 2268 7030,852 2268 7793,http://www.ymcahk.org.hk/,Whatsapp: 6901 6200,Quasi-government / Non-profit Organisation,Customer Services - Retail / Hotel / Tourism and Others
Member Services Assistant,YMCA of Hong Kong,JIS00336112,2024-08-27,2024-09-25,"Full Time, Graduate",HKD ($) 14K - 16K per month,4,尖沙咀,"Responsibilities:
Perform both counter and clerical duties in our Member Services Office
Provide quality services to our members, such as answering enquiries, handling facilities booking and programme enrollment.
Perform regular checking for venues and ensure the cleanliness and good condition of facility
Support ad-hoc projects as assigned by the supervisor","Requirements:
DSE/HKCEE or above with customer services / retail experience;
Good communication and interpersonal skills in spoken English, Cantonese & Mandarin, 
Mature, team-oriented, responsible, independent and self-motivated;
Good PC skills (Microsoft PowerPoint, Word, Excel and Chinese Word Processing);
Shift duty is required (Mon - Sun);
Fresh graduate are welcome;
Immediately available is highly preferred",2019 - 2023,Any Discipline,"Doctorate or above, Master / Postgraduate Diploma, Bachelor, Higher Diploma / Associate Degree",None,"Established in 1901, the YMCA of Hong Kong has a long and reputable history and is a leading Christian organization as well as an integral partner of the community. The YMCA is a well-established organization providing members and the community rather diversified services which include but not limited to formal education, sports, recreation, fitness and wellness, youth leadership development and social services. We also operate a 372-room hostel (“The Salisbury”) with food & beverage outlets. In addition, the YMCA is engaged in significant regional and international Christianity development programmes and activities. We are an equal opportunity employer and have been awarded the Family-Friendly Employer Award since 2013/2014.","Please address your application to : Ms. Li, AHRO, HR",41 Salisbury Road Tsimshatsui Kowloon,recruit@ymcahk.org.hk,22687030,852 2268 7793,http://www.ymcahk.org.hk/,Whatsapp: 69016200,Quasi-government / Non-profit Organisation,"Customer Services - Retail / Hotel / Tourism and Others
Others
Community / Social Worker"
Part-time Assistant Programme Officer (Domestic Helper Unit),YMCA of Hong Kong,JIS00336111,2024-08-27,2024-09-24,"Full Time, Graduate",HKD ($) 80 per hour,1,Tsim Sha Tsui,"Job Description:
Prepare course / class materials for Domestic Helper (DH) programme
Maintain the operation and handle enquires, especially on Sunday
Handle ad-hoc duties as assigned by supervisor
 ","Job Requirement:
Diploma or above with 1 year relevant experience, preferably in cooking and bakery or related discipline.
Strong communication and sense of responsibility with flexibility and good customer services skills
Hardworking with good working attitude and manner while working in a team
Good analytical, planning and organizing ability
Excellent command of written and spoken English, Chinese
Proficiency in computer applications including Microsoft Word and Excel; Hands-on experience with Canva
Able to work on every Sunday, and 1 weekday; in total of 16 working hours per week",2021 - 2024,Any Discipline,Higher Diploma / Associate Degree,1 year,"Established in 1901, the YMCA of Hong Kong has a long and reputable history and is a leading Christian organization as well as an integral partner of the community. The YMCA is a well-established organization providing members and the community rather diversified services which include but not limited to formal education, sports, recreation, fitness and wellness, youth leadership development and social services. We also operate a 372-room hostel (“The Salisbury”) with food & beverage outlets. In addition, the YMCA is engaged in significant regional and international Christianity development programmes and activities. We are an equal opportunity employer and have been awarded the Family-Friendly Employer Award since 2013/2014.",,41 Salisbury Road Tsimshatsui Kowloon,recruit@ymcahk.org.hk,852 2268 7030,852 2268 7793,http://www.ymcahk.org.hk/,Whatsapp: 69016200,Quasi-government / Non-profit Organisation,"Others
Community / Social Worker
Administration - Non-private Sector"
Software Engineer- Motor Control (Based in Shenzhen),Johnson Electric Industrial Manufactory Limited,JIS00336109,2024-08-27,2024-09-25,"Full Time, Graduate",HKD ($) 18K - 25K per month,3,"Shenzhen, China","Responsible for the design of embedded software (C language) for automotive brushless motor products, participate in the design of overall system solutions, and determine software control algorithms
Responsible for the construction of embedded software architecture, code writing and debugging, as well as system testing
Responsible for product testing and monitoring, calibration software design
Responsible for continuous improvement of product software","Bachelor's degree or above in motor control, electronics, electrical engineering, automation or related fields
Familiar with and master sensorless control algorithms for BLDC square wave and sine wave, FOC, space vector control, with priority given to those with relevant project experience
Proficient in software design for at least one 16 or 32-bit microcontroller; experience with Infenon or arm cortex software/hardware design is preferred
Familiar with Matlab/Simulink modeling and simulation, proficient in using at least one circuit simulation software (Multisim, Pspice, Seber, etc.). Priority given to those with experience in using Matlab to automatically generate motor control software
Basic hardware design skills, familiar with the basic principles of PCB design, understanding of EMC-related knowledge, with priority given to those with hardware design project experience
Good English reading and writing skills
Fresh graduate will be considered as Engineering Trainee",2021 - 2024,"Electrical / Electronic / Energy Engineering, Engineering, Systems Engineering & Engineering Management","Master / Postgraduate Diploma, Doctorate or above, Bachelor",None,"About Johnson Electric Group
The Johnson Electric Group is a global leader in electric motors, actuators, motion subsystems and related electro-mechanical components. It serves a broad range of industries, including
Automotive, Smart Metering, Medical Devices, Business Equipment, Home Automation, Ventilation, White Goods, Power Tools, and Lawn & Garden Equipment. The Group is headquartered in Hong Kong and employs over 35,000 individuals in 22 countries worldwide. Johnson
Electric Holdings Limited is listed on The Stock Exchange of Hong Kong Limited (Stock Code: 179).
Company Web Address: http://www.johnsonelectric.com
Global Revenue: US$3.4 Billion in 2021/22
Number of Employees worldwide: 35,000 employees in over 22 countries
Corporate Headquarter: Hong Kong
What we offer:
- Exceptional opportunities for talented employees to learn and grow professionally with rewarding careers
- Dynamic and teamwork environment","Please address your application to : Jacky Yao, Assistant Manager, HR","6F, 12 E, Science Park, Sha Tin",jacky.b.yao@johnsonelectric.com,,,http://johnsonelectric.com,,Manufacturing,"Engineering - Electronic / Industrial / Electrical / Mechanical and others
Research & Development"
Administration staff / Program Coordinator,Phonics Plus Limited,JIS00336082,2024-08-27,2024-09-25,"Full Time, Graduate",HKD ($) 16K - 22K per month,3,"2 centres - Causeway Bay, Shatin","Assistance in course management and class scheduling
Student recruitment and admission
Program marketing and promotion
Marketing materials preparation
Office administration
Cash and cheque handling with accounts payable and receivable
Facilities management, including cleaning and tidying of premises
Dealing with incoming email, faxes and calls
Communication and liaise with parents and teachers","Highlights
Patient, kind and good Emotional Intelligent
University degree preferrable
Immediate availability preferred
Requirements:
Proficient in Excel and Word (English & Chinese)
Full-time (5 days per week)
Working experience in education-related fields will be an advantage
Good command of spoken and written English and Chinese
Enjoy working with young children
         ",2021 - 2024,Any Discipline,Bachelor,None,"We, Phonic Plus, provide a lovely and friendly environment for our students to learn our PLM Methodology.
We provide the following benefits and packages to the right candidates:
Very attractive package.
We provide an open and friendly environment, good career prospects and training to the right candidates.","Please address your application to : Belinda Wong, Director","Rm 304, ChinaChem Leighton Plaza, 29 Leighton Road",plm@phonicsland.com.hk,27718800,,,Resume or CV,Education,"Education
Administration - Private Sector
Customer Services - Retail / Hotel / Tourism and Others"
