Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Assistant Event Executive (Trainee/ Internship/ Fresh Graduates),DIA (ASIA PACIFIC) COMPANY LIMITED,"Full Time, Graduate",HKD ($),13K - 15K per month,2024-09-27
Fund Accountant,BOCI-Prudential Trustee Limited,"Full Time, Graduate",HKD ($),18K - 19K per month,2024-09-28
Client Service Administrator (Pension Administration),BOCI-Prudential Trustee Limited,"Full Time, Graduate",HKD ($),17K - 18K per month,2024-09-28
Programmer,BOCI-Prudential Trustee Limited,"Full Time, Graduate",HKD ($),20K - 23K per month,2024-09-28
"Administrator, Unit Trust",BOCI-Prudential Trustee Limited,"Job at oversea location, Full Time, Graduate",HKD ($),17K - 19K per month,2024-09-28
SEO Specialist,Aloha Group Limited,"Full Time, Graduate",HKD ($),17K - 18K per month,2024-09-28
Project Assistant (Financial institution),Fortune Origin Securities Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Administrative Officer,Hong Kong Society of Notaries,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Human Resources Internship/Graduate,Paywatch Hong Kong Limited,"Part Time, Internship",HKD ($),50 - 60 per hour,2024-09-28
Audit Junior,Vincent W M Lai & Co,"Full Time, Graduate",HKD ($),15K - 18K per month,2024-09-07
Human Resources Internship/Graduate,Paywatch Hong Kong Limited,"Part Time, Internship",HKD ($),50 - 60 per hour,2024-09-28
Project Assistant (Financial institution),Fortune Origin Securities Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
Administrative Officer,Hong Kong Society of Notaries,"Full Time, Graduate",HKD ($),Negotiable,2024-09-28
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-09-24
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-09-24
YUM China 2025 Management Trainee Program,"Qianjin Network Information Technology (Shanghai) Co., Ltd. (51Job)","Management Trainee, Full Time, Graduate",CNY (¥),Negotiable,2024-09-20
Business Analyst,McKinsey & Company,"Full Time, Graduate",HKD ($),Negotiable,2024-09-06
Digital Marketing / Graphic Designer intern,Xinics Company Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-26
Assistant Quantity Surveyor,Currie & Brown (China) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-07
Administrative Assistant / Officer,Carthy Limited,"Part Time, Graduate",HKD ($),70 - 85 per hour,2024-09-27
Youth Work Officer 青年工作幹事(註冊學位社工) (康城青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-09-27
Assistant Officer (Customer Experience & Repair Department),Midland Realty (Strategic) Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-23
Editor,She Communications Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-27
Executive Officer II in Resource Centre for Interdisciplinary Studies and Experiential Learning (Ref: 2400956),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Air freight customer service,Dragon Air Service Limited,"Full Time, Graduate",HKD ($),10K - 15K per month,2024-09-16
Sales Support Officer - Corporate Banking,Bangkok Bank Public Co. Ltd.,"Full Time, Graduate",HKD ($),Negotiable,2024-09-27
Sales and Customer Support Officer,Kalloc Studios Asia Limited,"Full Time, Graduate",HKD ($),20K - 24K per month,2024-09-27
TRAINEE: Market Risk Analyst,Societe Generale - Hong Kong Branch,"Full Time, Graduate",HKD ($),30K - 34K per month,2024-09-27
Part-time helper for Logistics (E-Commerce),Super Tact International Limited,"Part Time, Temporary",HKD ($),80 per hour,2024-09-27
Project Engineer,excelink engineering company limited,"Full Time, Graduate",HKD ($),24K - 56K per month,2024-09-19
Officer – Service delivery representative,HKCOLO Limited,"Graduate Trainee, Full Time, Graduate",HKD ($),19K - 20K per month,2024-09-27
Recruitment of Teaching Assistant(Diploma Level)(English),Tsuen Wan Government Secondary School,"Full Time, Temporary",HKD ($),Negotiable,2024-09-05
Executive Officer II in Resource Centre for Interdisciplinary Studies and Experiential Learning (Ref: 2400956),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-12
Editor,She Communications Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-27
