Titles,Companies,Currencies,Salaries,Closing Dates
Data Analyst Part Time Intern,Landcrowd Limited,HKD ($),400 per day,2024-09-19
Community Associate (Part time),Access Benefit Limited,HKD ($),Negotiable,2024-09-20
2024/25財富管理實習生,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-09-20
PMO (Project Management Office) Trainee - Enterprise CRM / ERP / HCM,Global Sharp International Limited,HKD ($),25K - 27K per month,2024-09-05
課餘託管服務 – 兼職課託小組導師,YMCA of Hong Kong,HKD ($),80 - 100 per hour,2024-09-20
Site Logistics Technician,Trinseo (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-09-20
"Project Intern, Property & Casualty Underwriting (Catastrophe Analytic)",Peak Reinsurance Company Limited,HKD ($),Negotiable,2024-09-20
Xiaomi 2025 Future Star Program,Xiaomi Corporation,CNY (¥),40K - 100K per month,2024-09-20
中小學導師(6天) (鑽石山),Bright Union International Limited,HKD ($),20K per month,2024-09-04
Process Technician,Trinseo (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-09-20
初中數理導師(6天) (鑽石山),Bright Union International Limited,HKD ($),20K per month,2024-09-06
Site Logistics Technician,Trinseo (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-09-20
中小學導師(6天) (鑽石山),Bright Union International Limited,HKD ($),20K per month,2024-09-04
Xiaomi 2025 Future Star Program,Xiaomi Corporation,CNY (¥),40K - 100K per month,2024-09-20
Process Technician,Trinseo (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-09-20
"Project Intern, Property & Casualty Underwriting (Catastrophe Analytic)",Peak Reinsurance Company Limited,HKD ($),Negotiable,2024-09-20
Programmer,Tradelink Technologies Limited,HKD ($),80 - 85 per hour,2024-09-15
Junior Designer,DIA (ASIA PACIFIC) COMPANY LIMITED,HKD ($),14K - 16.5K per month,2024-09-14
Part-time - Membership Services Assistant (Hotline),The Hong Kong Jockey Club,HKD ($),Negotiable,2024-09-16
Business Development Executive,IT Channel (Asia) Limited,HKD ($),17K - 20K per month,2024-09-20
Assistant Software Engineer / Software Engineer,IT Channel (Asia) Limited,HKD ($),17K - 20K per month,2024-09-20
Project Assistant in Department of Curriculum and Instruction (Ref: 2400936),The Education University of Hong Kong,HKD ($),21.4K per month,2024-08-28
Sales Assistant,Convergint (Hong Kong) Limited,HKD ($),15K - 18K per month,2024-08-31
Assistant,Alles Compliance Consulting Limited,HKD ($),70 - 90 per hour,2024-09-19
Analyst Programmer Trainee,Togo Pacific Limited,HKD ($),Negotiable,2024-09-15
Quality Controller Assistant,Tung Chun Management Services Co. Limited,HKD ($),16K - 18K per month,2024-09-19
數學及英文導師 Math and English Tutor/Teacher (大角咀/奧運站),BRAINKEY EDUCATION LIMITED,HKD ($),17K - 25K per month,2024-09-05
Accounts & Administrative Assistant,TUVE Limited,HKD ($),15K - 16K per month,2024-08-27
Associate Officer – Finance & Accounting,HKR International Limited,HKD ($),Negotiable,2024-09-19
2024/25Wealth Management Internship,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-09-19
HNW Wealth Management Manager,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-09-19
FB and IG editor,Hong Kong Christian Cancer Care Association,HKD ($),50 - 55 per hour,2024-09-16
Assistant Executive/ Executive Order Management Apparel & Accessories,World Cat Limited,HKD ($),Negotiable,2024-09-17
啟德Sogo女裝鞋店務員,Grandioso Group Limited,HKD ($),65 - 80 per hour,2024-09-19
Library Assistant II in Library (Access Services Section) (Ref: 2400924),The Education University of Hong Kong,HKD ($),21.4K per month,2024-09-03
Assistant to Chairman,Sheraton Valuers Limited,HKD ($),20K - 30K per month,2024-09-19
Audit Senior,"WWC Professional Corporation Limited, CPAs (Practising)",HKD ($),24K - 40K per month,2024-09-16
Assistant,Alles Compliance Consulting Limited,HKD ($),16K - 19K per month,2024-09-14
Multimedia/Graphic Designer,Adbees Digital Limited,HKD ($),40 - 60 per hour,2024-09-19
Family Financial Planning Consultant,The HAIDER Family Office Limited,HKD ($),20K - 30K per month,2024-09-19
Teaching Position (STEM Education) for Academic Year 2024-2025 (Part-time: hourly-based),Edvenue Limited,HKD ($),155 - 230 per hour,2024-08-31
Application Engineer (Equipment),Teltec Semiconductor Pacific Ltd,HKD ($),15K - 30K per month,2024-09-19
General Practice Surveying Intern,CHFT Advisory & Appraisal Limited,HKD ($),Negotiable,2024-09-03
Service Engineer (Equipment),Teltec Semiconductor Pacific Ltd,HKD ($),15K - 30K per month,2024-09-19
行政助理 (AA) (合約) (編號 :EOL/88024),St. James' Settlement,HKD ($),Negotiable,2024-08-30
Multimedia/Graphic Designer,Adbees Digital Limited,HKD ($),40 - 60 per hour,2024-09-19
兒童普通話故事課程導師,iSpeech Limited,HKD ($),Negotiable,2024-09-06
Marketing Assistant,Target Winway International Limited,HKD ($),400 - 450 per day,2024-09-13
SEO Intern,First Page Limited,HKD ($),60 - 65 per hour,2024-09-14
Full-time Wealth Management Manager with monthly bonus,ALAN DONALD CO,HKD ($),15K - 50K per month,2024-09-19
Wealth Management Internship,ALAN DONALD CO,HKD ($),15K - 50K per month,2024-09-19
Assistant Editor (Geography),Ling Kee Publishing Co Ltd,HKD ($),18K - 19K per month,2024-09-19
Part-time Job: Editorial Assistant (Geography),Ling Kee Publishing Co Ltd,HKD ($),500 - 600 per day,2024-09-19
Sales Associate/Senior Sales Associate,E-FRAN HK LIMITED,HKD ($),Negotiable,2024-09-19
English Storytelling Tutor,iSpeech Limited,HKD ($),120 - 150 per hour,2024-09-06
Research Scientist / Research Assistant,WSC Holding Limited,HKD ($),18K - 23K per month,2024-09-16
Student Mentor,Hong Kong Scholars Education and Philanthropy Foundation Limited,HKD ($),1.25K per month,2024-09-19
Accounts Clerk,K. Wah Construction Materials (Hong Kong) Limited,HKD ($),Negotiable,2024-09-15
E-Commerce Officer,Hong Kong Technology Venture Company Limited,HKD ($),17K - 22K per month,2024-09-19
Audit assistant,Stella W.M. Kwok & Co,HKD ($),18K per month,2024-09-18
Personal Tutor,Sylvia Education Limited,HKD ($),5K - 8K per month,2024-09-19
Family Financial Planning Consultant,The HAIDER Family Office Limited,HKD ($),20K - 30K per month,2024-09-19
Bank Operation intern(Retail Banking Services),ZhongAn Technologies International Group Limited,HKD ($),50 per hour,2024-09-10
Recruitment Consultant,Recruit Express (Hong Kong) Limited,HKD ($),17K - 20K per month,2024-09-08
"(Campus recruiting-1 year contract)Officer, Investment Customer Services(type 1)",ZhongAn Technologies International Group Limited,HKD ($),18K - 22K per month,2024-09-19
Accenture Song - Digital Marketing PMO Analyst,Accenture Company Limited,HKD ($),Negotiable,2024-09-19
Investment Analyst (Crypto),Spartan Capital (HK) Limited,HKD ($),Negotiable,2024-09-19
STEM / AI Instructor - Freelance,Una Technologies Limited,HKD ($),180 - 230 per hour,2024-09-19
Merchandiser / Assistant Merchandiser (Garment),Excellent Jade Limited,HKD ($),16K - 21K per month,2024-08-31
Web Designer Intern,Young Living Hong Kong Limited,HKD ($),60 - 70 per hour,2024-09-19
Part Time Digital Ad Assistant,Hong Kong Technology Venture Company Limited,HKD ($),60 - 80 per hour,2024-09-19
"Teaching Assistant (Citizenship, Economics and Society / Citizenship and Social Development)",Good Hope School,HKD ($),17K - 17.5K per month,2024-09-04
Intern - Low Code Development,Lidl & Kaufland Asia Pte. Limited,HKD ($),Negotiable,2024-09-19
Assistant Quantity Surveyor,K. Wah Construction Materials (Hong Kong) Limited,HKD ($),Negotiable,2024-09-19
Administration Assistant,K. Wah Construction Materials (Hong Kong) Limited,HKD ($),Negotiable,2024-09-15
Digital Content Creator / Copywriter- English/ Chinese,Adbees Digital Limited,HKD ($),40 - 60 per hour,2024-09-19
(Part Time / Freelance) HairStyling Tutor 兼職 髮型 導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
臨時推廣員 (工展會),Tung Chun Management Services Co. Limited,HKD ($),65 - 70 per hour,2024-09-18
(Part Time / Freelance) HairDye Tutor 兼職 染髮 導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) K-Pop Dance Tutor 兼職 K-Pop 排舞導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) Street Dance Tutor 兼職 街舞 排舞導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) Breaking Tutor 兼職 霹靂舞 導師 排舞導師,Life Learn Limited,HKD ($),200 - 350 per hour,2024-09-18
Social Media Marketing Intern (Unpaid),Talk To You Later LTD,HKD ($),Negotiable,2024-09-15
Software Engineer,Visutech Asia Limited,HKD ($),70 - 75 per hour,2024-09-18
Procurement and Supply Chain Officer,Earth Products China Limited,HKD ($),23K - 28K per month,2024-09-17
Mobile Application Developer,Bright Smart Securities International (HK) Ltd.,HKD ($),Negotiable,2024-08-31
Intern - Structured Finance Department,CMB International Capital Corporation Limited,HKD ($),50 per hour,2024-09-02
Sales & Marketing Assistant,Tung Chun Management Services Co. Limited,HKD ($),16K - 18K per month,2024-09-18
Teaching Assistant (Science KLA),Good Hope School,HKD ($),17K - 17.5K per month,2024-09-03
Management Trainee (Part-time Internship),Premiere Logistics (HK) Limited,HKD ($),45 - 60 per hour,2024-08-31
Management Trainee (Full time),Premiere Logistics (HK) Limited,HKD ($),13K - 18K per month,2024-08-31
ADMINISTRATIVE OFFICER,Premiere Logistics (HK) Limited,HKD ($),14K - 20K per month,2024-08-31
Analyst - Sales Support (CDD/KYC) (Entry Level),FundPark limited,HKD ($),18K - 20K per month,2024-08-30
Officer - Credit Policy & Analytics Department,Chong Hing Bank Limited,HKD ($),18K - 20K per month,2024-09-13
Senior Research Assistant in Department of Curriculum and Instruction (Ref: 2400925),The Education University of Hong Kong,HKD ($),29.1K per month,2024-09-03
Analyst Programmer,Bright Smart Securities International (HK) Ltd.,HKD ($),Negotiable,2024-08-31
技術員,Carewin Engineering Limited,HKD ($),12K - 15K per month,2024-09-14
Wealth Management Trainee,Nobleson Finance,HKD ($),45K - 60K per month,2024-08-26
劃圖員,Carewin Engineering Limited,HKD ($),15K - 18K per month,2024-09-14
Development Engineer,"AN LIAO CONSULTING CO., LIMITED",HKD ($),30K - 50K per month,2024-09-18
Technician (系統維修技術員) Part-time,Ground Transportation Systems (Hong Kong) Limited,HKD ($),14K - 20K per month,2024-09-17
【#IBtutor】IB Bio/Chem Tutor Recuritment - HIGH PAY,HKExcel Education Limited,HKD ($),20K - 30K per month,2024-08-31
"Pre-Sales Engineer, IT Solution",ICO Limited,HKD ($),18K - 20K per month,2024-09-18
量化开发工程师,上海明汯投资管理有限公司,CNY (¥),35K per month,2024-09-18
量化研究员,上海明汯投资管理有限公司,CNY (¥),35K - 50K per month,2024-09-18
Blockchain Developer,Amber AM Limited,HKD ($),25K - 28K per month,2024-09-14
机器学习开发工程师,上海明汯投资管理有限公司,CNY (¥),35K - 50K per month,2024-09-18
机器学习算法研究员,上海明汯投资管理有限公司,CNY (¥),35K - 50K per month,2024-09-18
Recruiting Facilitators (組爸媽) for “Smoke-free Elite Teens Programme” 2024-2025,Hong Kong Council on Smoking and Health,HKD ($),67 per hour,2024-09-09
【#IBtutor】IB Math/Physics Tutor Recuritment - HIGH PAY,HKExcel Education Limited,HKD ($),20K - 30K per month,2024-08-31
Associate Systems Analyst,HKR International Limited,HKD ($),Negotiable,2024-09-18
