Titles,Companies,Currencies,Salaries,Closing Dates
初中數理導師(6天) (鑽石山),Bright Union International Limited,HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門盈豐),Bright Union International Limited,HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門友愛),Bright Union International Limited,HKD ($),20K per month,2024-09-06
見習助理統籌主任(6日) (屯門市中心 ),Bright Union International Limited,HKD ($),20K per month,2024-09-06
見習统籌主任(6天) (鑽石山),Bright Union International Limited,HKD ($),22K per month,2024-09-06
Xiaomi 2025 Future Star Program,Xiaomi Corporation,CNY (¥),40K - 100K per month,2024-09-20
Site Logistics Technician,Trinseo (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-09-20
Process Technician,Trinseo (Hong Kong) Limited,HKD ($),19K - 22K per month,2024-09-20
初中導師(6天)(屯門盈豐),Bright Union International Limited,HKD ($),18.5K per month,2024-09-06
中小學導師(6天) (鑽石山),Bright Union International Limited,HKD ($),20K per month,2024-09-04
2024/25財富管理實習生,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-09-20
Junior Designer,DIA (ASIA PACIFIC) COMPANY LIMITED,HKD ($),14K - 16.5K per month,2024-09-14
Assistant Software Engineer / Software Engineer,IT Channel (Asia) Limited,HKD ($),17K - 20K per month,2024-09-20
Business Development Executive,IT Channel (Asia) Limited,HKD ($),17K - 20K per month,2024-09-20
PMO (Project Management Office) Trainee - Enterprise CRM / ERP / HCM,Global Sharp International Limited,HKD ($),25K - 27K per month,2024-09-05
Assistant to Chairman,Sheraton Valuers Limited,HKD ($),20K - 30K per month,2024-09-19
Family Financial Planning Consultant,The HAIDER Family Office Limited,HKD ($),20K - 30K per month,2024-09-19
Audit assistant,Stella W.M. Kwok & Co,HKD ($),18K per month,2024-09-18
E-Commerce Officer,Hong Kong Technology Venture Company Limited,HKD ($),17K - 22K per month,2024-09-19
Assistant,Alles Compliance Consulting Limited,HKD ($),16K - 19K per month,2024-09-14
Family Financial Planning Consultant,The HAIDER Family Office Limited,HKD ($),20K - 30K per month,2024-09-19
Graduate Trainee (Audit),S. C. To & Co.,HKD ($),16K - 20K per month,2024-09-19
Accounts & Administrative Assistant,TUVE Limited,HKD ($),15K - 16K per month,2024-08-27
Assistant Editor (Geography),Ling Kee Publishing Co Ltd,HKD ($),18K - 19K per month,2024-09-19
HNW Wealth Management Manager,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-09-19
Investment Analyst (Crypto),Spartan Capital (HK) Limited,HKD ($),Negotiable,2024-09-19
2024/25Wealth Management Internship,Roy Financial Consulting,HKD ($),15K - 50K per month,2024-09-19
Accenture Song - Digital Marketing PMO Analyst,Accenture Company Limited,HKD ($),Negotiable,2024-09-19
"(Campus recruiting-1 year contract)Officer, Investment Customer Services(type 1)",ZhongAn Technologies International Group Limited,HKD ($),18K - 22K per month,2024-09-19
Recruitment Consultant,Recruit Express (Hong Kong) Limited,HKD ($),17K - 20K per month,2024-09-08
Associate Officer – Finance & Accounting,HKR International Limited,HKD ($),Negotiable,2024-09-19
Quality Controller Assistant,Tung Chun Management Services Co. Limited,HKD ($),16K - 18K per month,2024-09-19
Analyst Programmer Trainee,Togo Pacific Limited,HKD ($),Negotiable,2024-09-15
Sales Assistant,Convergint (Hong Kong) Limited,HKD ($),15K - 18K per month,2024-08-31
Project Assistant in Department of Curriculum and Instruction (Ref: 2400936),The Education University of Hong Kong,HKD ($),21.4K per month,2024-08-28
Assistant Executive/ Executive Order Management Apparel & Accessories,World Cat Limited,HKD ($),Negotiable,2024-09-17
數學及英文導師 Math and English Tutor/Teacher (大角咀/奧運站),BRAINKEY EDUCATION LIMITED,HKD ($),17K - 25K per month,2024-09-05
Library Assistant II in Library (Access Services Section) (Ref: 2400924),The Education University of Hong Kong,HKD ($),21.4K per month,2024-09-03
"Teaching Assistant (Citizenship, Economics and Society / Citizenship and Social Development)",Good Hope School,HKD ($),17K - 17.5K per month,2024-09-04
Sales Associate/Senior Sales Associate,E-FRAN HK LIMITED,HKD ($),Negotiable,2024-09-19
Research Scientist / Research Assistant,WSC Holding Limited,HKD ($),18K - 23K per month,2024-09-16
Application Engineer (Equipment),Teltec Semiconductor Pacific Ltd,HKD ($),15K - 30K per month,2024-09-19
Service Engineer (Equipment),Teltec Semiconductor Pacific Ltd,HKD ($),15K - 30K per month,2024-09-19
Accounts Clerk,K. Wah Construction Materials (Hong Kong) Limited,HKD ($),Negotiable,2024-09-15
Merchandiser / Assistant Merchandiser (Garment),Excellent Jade Limited,HKD ($),16K - 21K per month,2024-08-31
Assistant Quantity Surveyor,K. Wah Construction Materials (Hong Kong) Limited,HKD ($),Negotiable,2024-09-19
Administration Assistant,K. Wah Construction Materials (Hong Kong) Limited,HKD ($),Negotiable,2024-09-15
行政助理 (AA) (合約) (編號 :EOL/88024),St. James' Settlement,HKD ($),Negotiable,2024-08-30
Audit Senior,"WWC Professional Corporation Limited, CPAs (Practising)",HKD ($),24K - 40K per month,2024-09-16
Analyst Programmer,Vanke Holdings (Hong Kong) Company Limited,HKD ($),25K - 30K per month,2024-09-12
Officer (Treasury & Accounting Operations),Vanke Holdings (Hong Kong) Company Limited,HKD ($),25K - 30K per month,2024-09-14
Project Administration Executive,FDS Solutions Limited,HKD ($),20K - 22K per month,2024-09-15
"小學導師 (5.5天) (屯門盈豐)/Primary school tutor (5.5 Days) (GoodRich, Tuen Mun)",Bright Union International Limited,HKD ($),17K per month,2024-09-03
"小學導師 (5.5天) (天水圍銀座)/Primary school tutor (5.5 Days) (Ginza ,Tin Shui Wai)",Bright Union International Limited,HKD ($),17K per month,2024-09-03
小學導師 (5.5天) (屯門市中心),Bright Union International Limited,HKD ($),17K per month,2024-09-03
公民與社會發展科導師 (5天) /CSD Tutor(5 days),Bright Union International Limited,HKD ($),22K per month,2024-09-04
高中經濟及BAFS企會財導師 (5天)/DSE BAFS & Economics Tutor (5 days),Bright Union International Limited,HKD ($),22K - 23K per month,2024-09-04
初中英文導師(6天) (粉嶺),Bright Union International Limited,HKD ($),20K - 22K per month,2024-09-04
小學導師 (6日) (粉嶺)/Primary School Tutor (6DAYS) (Fanling),Bright Union International Limited,HKD ($),21K per month,2024-09-03
"小學導師 (5.5日)( 大埔太和)/Primary School Tutor (5.5DAYS)( Tai Wo, Tai Po)",Bright Union International Limited,HKD ($),15K - 17K per month,2024-09-03
【#IBtutor】IB Math/Physics Tutor Recuritment - HIGH PAY,HKExcel Education Limited,HKD ($),20K - 30K per month,2024-08-31
【#IBtutor】IB Bio/Chem Tutor Recuritment - HIGH PAY,HKExcel Education Limited,HKD ($),20K - 30K per month,2024-08-31
Technician (系統維修技術員) Part-time,Ground Transportation Systems (Hong Kong) Limited,HKD ($),14K - 20K per month,2024-09-17
Investment Consultancy Trainee,The HAIDER Family Office Limited,HKD ($),18K - 25K per month,2024-09-18
"小學導師 (5.5天) (天水圍天澤)/Primary school tutor (5.5 Days) (Tin Chak, Tin Shui Wai)",Bright Union International Limited,HKD ($),17K per month,2024-09-03
Logistics Coordinator (Air Export - Gateway),Expeditors Hong Kong Limited,HKD ($),15K - 20K per month,2024-08-31
ADMINISTRATIVE OFFICER,Premiere Logistics (HK) Limited,HKD ($),14K - 20K per month,2024-08-31
Senior Research Assistant / Research Assistant I / II in Research and Development Office (Knowledge Transfer Sub-Office) (4 posts) (Ref: 2400871),The Education University of Hong Kong,HKD ($),29.1K per month,2024-09-03
Content Marketer,Mindful Wing Chun Limited,HKD ($),18K - 22K per month,2024-09-08
AIA Graduate Program for fresh graduates/IANG/TTPS/QMAS,MVP Professional Financial Consultancy Company,HKD ($),35K - 50K per month,2024-09-17
Administration Assistant,Montagut Far East Limited,HKD ($),16K - 18K per month,2024-09-18
Business Development Intern/Graduate (Part Time),Alpha AI Technology Limited,HKD ($),500 - 650 per day,2024-09-10
