Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Junior Algorithm Engineer (AI Trainee),Global Sharp International Limited,"Full Time, Graduate",HKD ($),23K - 27K per month,2024-09-08
Surveying Intern (Part-time),Midland Realty (Strategic) Limited,"Part Time, Internship",HKD ($),50 - 55 per hour,2024-09-22
"Temporary Assistant, Compliance (Short-term contract, subject to renewal) (Ref: COM/TASST)",The Law Society of Hong Kong,"Full Time, Temporary",HKD ($),Negotiable,2024-09-05
兼職特殊幼兒工作員 – 天水圍兒童學習及發展支援中心,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Part Time, Graduate",HKD ($),Negotiable,2024-09-01
School Social Worker - Stationing Secondary School,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Full Time, Graduate",HKD ($),Negotiable,2024-09-01
Ticketing Cashier,Ark Expo Management Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-02
兼職中小學功課英文導師和助教,Axios Investment and Consulting Limited,"Part Time, Temporary",HKD ($),80 - 180 per hour,2024-09-21
"Assistant, Standards & Development (Ref: S&D/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Compliance (Ref: COM/IC/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Registration (Ref: COM/REG/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
Systems Engineer for Hedge Funds (Full time in Hong Kong),Premier Technology Global Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
全職英文教室導師 Centre Tutor (English) - 馬鞍山 / 荃灣 / 大角咀,EDUSMART COMPANY LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
Draftsman ( 5 days ),Maxgrand Limited,"Full Time, Temporary",HKD ($),16K per month,2024-09-21
School Social Worker - Stationing Secondary School,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Full Time, Graduate",HKD ($),Negotiable,2024-09-01
Ticketing Cashier,Ark Expo Management Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-02
兼職中小學功課英文導師和助教,Axios Investment and Consulting Limited,"Part Time, Temporary",HKD ($),80 - 180 per hour,2024-09-21
"Temporary Assistant, Compliance (Short-term contract, subject to renewal) (Ref: COM/TASST)",The Law Society of Hong Kong,"Full Time, Temporary",HKD ($),Negotiable,2024-09-05
"Assistant, Communications and External Affairs (Ref: CEA/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Standards & Development (Ref: S&D/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
"Assistant, Registration (Ref: COM/REG/ASST)",The Law Society of Hong Kong,"Full Time, Graduate",HKD ($),Negotiable,2024-09-05
School Social Worker - Stationing Secondary School,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Full Time, Graduate",HKD ($),Negotiable,2024-09-01
兼職特殊幼兒工作員 – 天水圍兒童學習及發展支援中心,The Boys' & Girls' Clubs Association of Hong Kong(HQ),"Part Time, Graduate",HKD ($),Negotiable,2024-09-01
Draftsman ( 5 days ),Maxgrand Limited,"Full Time, Temporary",HKD ($),16K per month,2024-09-21
Project Coordinator/ Sales Coordinator,Maxgrand Limited,"Full Time, Graduate",HKD ($),15K - 16K per month,2024-09-21
Assistant Engineer/Assistant Engineer Trainee (5 days' work),Maxgrand Limited,"Full Time, Graduate",HKD ($),16K - 22K per month,2024-09-21
Systems Engineer for Hedge Funds (Part-Time Intern),Premier Technology Global Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-19
全職英文教室導師 Centre Tutor (English) - 馬鞍山 / 荃灣 / 大角咀,EDUSMART COMPANY LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
全職中文教室導師 Centre Tutor - 荃灣,EDUSMART COMPANY LIMITED,"Full Time, Graduate",HKD ($),Negotiable,2024-09-21
销售交易岗,Shanxi Securities International Financial Holdings Limited,"Full Time, Graduate",HKD ($),20K - 35K per month,2024-09-21
