Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
Valuation Advisory Full Time Associate,ValQuest Advisory Group Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-10-02
Project Officer,Umbrella School Foundation Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-10-16
Full Time Internship Program – LVMH Perfumes & Cosmetic Division (Hong Kong January 2025 Intake),LVMH PERFUMES & COSMETICS ASIA PACIFIC LIMITED,"Full Time, Internship",HKD ($),Negotiable,2024-10-18
Accounts & Administrative Assistant,TUVE Limited,"Full Time, Graduate",HKD ($),15K - 16K per month,2024-09-24
Graduate Trainee - System Consultant,Global Sharp International Limited,"Full Time, Graduate",HKD ($),25K - 27K per month,2024-10-02
Assistant Safety Officer,Quon Hing Concrete Co Ltd,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-10-16
Management Trainee for Finace / Admin dept,Quon Hing Concrete Co Ltd,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-10-16
Management Trainee,Quon Hing Concrete Co Ltd,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-10-16
ASST ENGINEER,Quon Hing Concrete Co Ltd,"Full Time, Graduate",HKD ($),20K - 25K per month,2024-10-16
Idea to Done 3D中小學工作坊兼職導師,Beets Limited,"Part Time, Temporary",HKD ($),200 - 300 per hour,2024-10-08
Part Time Project Engineer,Tech Nine Limited,"Part Time, Internship",HKD ($),60 - 65 per hour,2024-09-28
Marketing Executive (Intern / Part-time),RHL Appraisal Limited,"Part Time, Internship",HKD ($),480 - 600 per day,2024-10-16
"HR Management Trainee (Recruitment focused, incentive bonus)",Recruitfirst Limited,"Management Trainee, Full Time, Graduate",HKD ($),17K - 20K per month,2024-10-15
Operations Executive,Hinex Trading Company Limited,"Full Time, Graduate",HKD ($),14K - 19K per month,2024-10-15
Operation Officer,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-15
Sales Executive,Hinex Trading Company Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-10-15
(Part Time) Rubik’s Club Tutor (兼職) 扭計骰 導師,Life Learn Limited,"Part Time, Graduate",HKD ($),100 - 200 per hour,2024-10-14
(Part Time / Freelence ) Table Manner and Social Etiquette Tutor / Teacher (兼職 / 自由工作者) 餐桌社交禮儀 導師,Life Learn Limited,"Part Time, Temporary",HKD ($),200 - 300 per hour,2024-10-15
(Part Time) Molkky Tutor (兼職) 芬蘭木柱 / 木棋 / 芬蘭木棋 導師,Life Learn Limited,"Part Time, Temporary",HKD ($),150 - 200 per hour,2024-10-14
(Part Time / Freelence ) High or low event adventure team building tutor (兼職 / 自由工作者) 高 或 低 結構歷奇 團體訓練 導師 / 教練,Life Learn Limited,"Part Time, Temporary",HKD ($),200 - 300 per hour,2024-10-14
Programmer Analyst,Ctech Group Limited,"Full Time, Graduate",HKD ($),40K - 60K per month,2024-10-15
Business Development Executive,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-15
Quantitative Analyst,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-15
Junior Trader,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-15
Management Trainee,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-15
Operations and Accounting Graduate,Sylebra Captial Limited,"Full Time, Graduate",HKD ($),18K per month,2024-10-15
Business Analyst,Ctech Group Limited,"Full Time, Graduate",HKD ($),30K - 50K per month,2024-10-15
"Marketing Intern – Digital Marketing / Part Time (12 months contract, subject to renewal)",Superhub Limited,"Part Time, Internship",HKD ($),60 - 70 per hour,2024-10-13
(Part Time) Rubik’s Club Tutor (兼職) 扭計骰 導師,Life Learn Limited,"Part Time, Graduate",HKD ($),100 - 200 per hour,2024-10-14
(Part Time) Molkky Tutor (兼職) 芬蘭木柱 / 木棋 / 芬蘭木棋 導師,Life Learn Limited,"Part Time, Temporary",HKD ($),150 - 200 per hour,2024-10-14
(Part Time / Freelence ) Table Manner and Social Etiquette Tutor / Teacher (兼職 / 自由工作者) 餐桌社交禮儀 導師,Life Learn Limited,"Part Time, Temporary",HKD ($),200 - 300 per hour,2024-10-15
(Part Time / Freelence ) High or low event adventure team building tutor (兼職 / 自由工作者) 高 或 低 結構歷奇 團體訓練 導師 / 教練,Life Learn Limited,"Part Time, Temporary",HKD ($),200 - 300 per hour,2024-10-14
Sales Executive,Hinex Trading Company Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-10-15
Operations Executive,Hinex Trading Company Limited,"Full Time, Graduate",HKD ($),14K - 19K per month,2024-10-15
中文科教學助理（兼職）,St. Mark's School,"Part Time, Temporary",HKD ($),120 - 150 per hour,2024-10-15
Assistant Quantity Surveyor,Beria Consultants Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-10-15
Clubhouse Assistant,Protech Property Management Limited,"Full Time, Graduate",HKD ($),15.5K - 18K per month,2024-10-15
Management Trainee (Ref: MT 2025),Orient Overseas Container Line Limited,"Management Trainee, Full Time, Graduate",HKD ($),Negotiable,2024-10-15
"Analyst, Corporate Finance (6-month renewable contract)",Asian Capital Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-04
Engineer Trainee,Shinryo (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-15
Admin Intern,Magic Compass Securities Limited,"Part Time, Internship",HKD ($),60 - 80 per hour,2024-09-22
Marketing Internship (Securities Brokerage / Financial Industry),Magic Compass Securities Limited,"Part Time, Internship",HKD ($),70 - 100 per hour,2024-09-22
Management Trainee,晉昇貿易公司,"Full Time, Graduate",HKD ($),25K - 50K per month,2024-09-24
理財顧問實習生,晉昇貿易公司,"Full Time, Graduate",HKD ($),15K - 35K per month,2024-09-24
Part-time intern,HSK Genetech Limited,"Part Time, Temporary",HKD ($),64 per hour,2024-09-30
Recruitment of Teaching Assistant(Diploma Level)(English),Tsuen Wan Government Secondary School,"Full Time, Temporary",HKD ($),Negotiable,2024-09-23
Research Assistant I in Department of Psychology (Ref: 2401006),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),21.4K per month,2024-09-30
Consultant Trainee,Cloudnifier Corporation Limited,"Full Time, Graduate",HKD ($),17.5K - 20K per month,2024-10-15
Internship,Greater Bay Area Homeland Investments Limited,"Part Time, Internship",HKD ($),Negotiable,2024-10-11
"PARC Part Time Intern (Process, Audit, Risks & insurance and Control)",Veolia China Holding Limited,"Part Time, Internship",HKD ($),60 per hour,2024-10-15
Part Time Assistant,Knight Frank Petty Limited,"Part Time, Temporary",HKD ($),Negotiable,2024-10-14
Sales Engineer,Alimak Group Hong Kong Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-15
Youth Work Officer 青年工作幹事(註冊文憑/副學士社工)(青年支援服務計劃),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),25.11K - 41.63K per month,2024-10-15
Youth Work Officer 青年工作幹事 (註冊副學位/高級文憑社工)(西貢及黃大仙外展社會工作隊),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),25.11K - 41.63K per month,2024-10-15
Youth Work Officer 青年工作幹事(註冊學位社工)(賽馬會祥華青年空間),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),36.85K - 60.49K per month,2024-10-15
Development Officer 發展幹事 (文憑/副學士) (大美督戶外活動中心),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),25.11K - 32.6K per month,2024-10-15
Development Officer 發展幹事 (學位) (大美督戶外活動中心),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),35.08K - 45.89K per month,2024-10-15
"Administrator (Pension Admin, Fresh Grad welcome)",Link Retirement Solutions HK Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-12
Youth Worker 青年工作員 (項目主任)(青年交流部),The Hong Kong Federation of Youth Groups - Head Office,"Full Time, Graduate",HKD ($),22.14K - 32.6K per month,2024-10-15
Actuarial Intern (2025 Internship),Fubon Life Insurance (Hong Kong) Company Limited,"Part Time, Internship",HKD ($),Negotiable,2024-10-15
Application Developer,FDS Solutions Limited,"Full Time, Graduate",HKD ($),22K per month,2024-10-13
Business Analyst,Global Sharp International Limited,"Full Time, Graduate",HKD ($),23K - 27K per month,2024-09-30
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-10-07
補習社初中學導師(6天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),21K - 22K per month,2024-10-07
全職補習社高中生物導師,Total Wise Limited,"Full Time, Graduate",HKD ($),23K - 26K per month,2024-10-07
兼職補習社數理科中學導師(觀塘),Total Wise Limited,"Full Time, Graduate",HKD ($),90 - 100 per hour,2024-10-07
Business Analyst,FDS Solutions Limited,"Full Time, Graduate",HKD ($),20K - 22K per month,2024-10-05
全職補習社中心課程主任(屯門),Total Wise Limited,"Full Time, Graduate",HKD ($),24K - 25K per month,2024-10-07
Product Development Engineer,Vcare Vision Technology Limited,"Full Time, Graduate",HKD ($),18K - 23K per month,2024-10-15
補習社客戶服務員(5天工作),Total Wise Limited,"Full Time, Graduate",HKD ($),16K - 16.8K per month,2024-10-07
Program Manager,Inspiring Girls Hong Kong Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-21
樂器導師(大提琴),SMART ART CORPORATION LIMITED,"Part Time, Temporary",HKD ($),100 - 300 per hour,2024-10-14
樂器導師(小提琴),SMART ART CORPORATION LIMITED,"Part Time, Temporary",HKD ($),100 - 250 per hour,2024-10-14
Graduate Engineer,APT Engineering Consultant Limited,"Full Time, Graduate",HKD ($),24K per month,2024-09-29
Officer II (Anti-Sexual Harassment Unit),Equal Opportunities Commission,"Full Time, Graduate",HKD ($),20.77K - 35.08K per month,2024-09-28
Officer II (Administration),Equal Opportunities Commission,"Full Time, Graduate",HKD ($),20.77K - 35.08K per month,2024-09-28
工程助理文員,Carewin Engineering Limited,"Full Time, Graduate",HKD ($),12K - 15K per month,2024-10-12
劃圖員,Carewin Engineering Limited,"Full Time, Graduate",HKD ($),15K - 18K per month,2024-10-12
SEN Learning Support Instructor Trainee ( Chinese) (Full time) and 特殊學習需要學習支援導師(中文) (全職),Boaz International Education Institute Limited,"Full Time, Graduate",HKD ($),17K - 18K per month,2024-10-04
Tech Support Specialist,"WealthRyse (Hong Kong) Co., Limited","Part Time, Internship",HKD ($),15K - 35K per month,2024-09-23
Integration/Testing/QA Specialist,"WealthRyse (Hong Kong) Co., Limited","Part Time, Internship",HKD ($),15K - 35K per month,2024-09-23
Cybersecurity + UNIX System Programmer/Admin,"WealthRyse (Hong Kong) Co., Limited","Part Time, Internship",HKD ($),15K - 35K per month,2024-09-23
Java/JavaScript Full-Stack Developer,"WealthRyse (Hong Kong) Co., Limited","Part Time, Internship",HKD ($),15K - 35K per month,2024-09-23
C++ Full-Stack Coders,"WealthRyse (Hong Kong) Co., Limited","Part Time, Internship",HKD ($),15K - 35K per month,2024-09-23
Python Developer - Data Analysts,"WealthRyse (Hong Kong) Co., Limited","Part Time, Internship",HKD ($),15K - 35K per month,2024-09-23
Native-speaking English Teacher (under the EDB's Enhanced NET Scheme),St. Joan of Arc Secondary School,"Full Time, Graduate",HKD ($),35.08K - 81.51K per month,2024-10-13
Administrative Officer,"Administrative Service Division, Civil Service Bureau","Full Time, Graduate",HKD ($),61.87K - 119.65K per month,2024-10-04
Social Media Executive,Law.asia Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-13
Research Intern,Law.asia Limited,"Full Time, Internship",HKD ($),Negotiable,2024-10-13
Project Coordinator,Hong Kong New Emerging Technology Education Association,"Full Time, Graduate",HKD ($),12K - 18K per month,2024-10-13
Marketing Executive/ Assistant (IT),ACW Distribution (HK) Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-10-13
兼職辦公室助理,Capital Partners CPA Limited,"Part Time, Graduate",HKD ($),45 - 50 per hour,2024-09-30
Enterprise Solution Specialist (Corporate Sales),SmarTone Telecommunications Limited,"Full Time, Graduate",HKD ($),18K - 25K per month,2024-10-11
Oliver's Super Sandwiches 見習經理,CAFE DE CORAL GROUP LTD,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-10-12
Oliver's Super Sandwiches 分店主任,CAFE DE CORAL GROUP LTD,"Full Time, Graduate",HKD ($),15K - 17K per month,2024-10-12
Administrative Accounting Assistant,Delftware Capital Management (HK) Ltd,"Part Time, Internship",HKD ($),Negotiable,2024-10-11
MARKETING ASSISTANT – SHKP CLUB,Sun Hung Kai Properties Ltd,"Full Time, Graduate",HKD ($),Negotiable,2024-10-12
Developer Material (6-month contract),World Cat Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-10-12
UNDERWRITING ASSISTANT (INSURANCE),Sun Hung Kai Properties Ltd,"Full Time, Graduate",HKD ($),Negotiable,2024-10-12
